Company Name,Sales,Operating Income,Net Income,Operating CF,,단위: 억 원
,"6,644 ",865 ,-335 ,644 ,<-,22년
아바텍,743 ,56 ,77 ,102 ,<-,18년
,754 ,54 ,72 ,162 ,<-,19년
,757 ,37 ,52 ,94 ,<-,20년
,807 ,-24 ,1 ,45 ,<-,21년
,732 ,-54 ,-43 ,-20 ,<-,22년
휴메딕스,648 ,107 ,108 ,238 ,<-,18년
,786 ,133 ,121 ,138 ,<-,19년
,985 ,166 ,172 ,238 ,<-,20년
,"1,110 ",160 ,101 ,192 ,<-,21년
,"1,232 ",260 ,212 ,382 ,<-,22년
BGF에코머티리얼즈,"1,614 ",63 ,48 ,-92 ,<-,18년
,"1,829 ",91 ,90 ,179 ,<-,19년
,"1,509 ",115 ,127 ,201 ,<-,20년
,"2,035 ",223 ,8 ,99 ,<-,21년
,"2,633 ",159 ,289 ,-101 ,<-,22년
크리스에프앤씨,"2,579 ",436 ,330 ,235 ,<-,18년
,"2,595 ",377 ,248 ,258 ,<-,19년
,"2,924 ",498 ,386 ,622 ,<-,20년
,"3,759 ",871 ,681 ,723 ,<-,21년
,"3,809 ",785 ,264 ,180 ,<-,22년
진성티이씨,"3,547 ",280 ,217 ,-68 ,<-,18년
,"3,556 ",299 ,220 ,293 ,<-,19년
,"3,112 ",230 ,152 ,313 ,<-,20년
,"4,383 ",253 ,171 ,-199 ,<-,21년
,"5,410 ",663 ,454 ,333 ,<-,22년
엘오티베큠,"1,693 ",190 ,168 ,171 ,<-,18년
,"1,502 ",-10 ,19 ,-45 ,<-,19년
,"1,712 ",42 ,40 ,255 ,<-,20년
,"2,596 ",264 ,207 ,235 ,<-,21년
,"3,742 ",298 ,221 ,72 ,<-,22년
아이센스,"1,730 ",274 ,224 ,195 ,<-,18년
,"1,898 ",302 ,233 ,380 ,<-,19년
,"2,037 ",305 ,273 ,346 ,<-,20년
,"2,329 ",348 ,252 ,172 ,<-,21년
,"2,648 ",198 ,159 ,67 ,<-,22년
엠에스오토텍,"8,920 ",274 ,50 ,878 ,<-,18년
,"12,744 ",667 ,348 ,"1,599 ",<-,19년
,"12,165 ",268 ,"-1,460 ",668 ,<-,20년
,"15,218 ",513 ,202 ,91 ,<-,21년
,"20,251 ","1,491 ","1,130 ","1,551 ",<-,22년
경동제약,"1,793 ",204 ,53 ,333 ,<-,18년
,"1,765 ",246 ,228 ,-28 ,<-,19년
,"1,738 ",190 ,129 ,171 ,<-,20년
,"1,776 ",158 ,126 ,124 ,<-,21년
,"1,827 ",83 ,121 ,-11 ,<-,22년
